#KO	Bran_1	Bran_2	PS_2	PS_3	CO_2	CO_3	Faeces_BR	Faeces_PS
K03113	0	3	0	0	1	1	2	1
K03116	2	2	2	0	2	2	0	3
K03117	0	1	1	0	1	0	0	3
K03118	1	2	1	0	1	2	2	7
K03119	1	1	0	0	1	1	0	0
K03147	2	0	2	0	0	2	1	1
K03148	1	2	0	0	0	1	0	0
K03149	1	2	1	0	1	2	1	1
K03150	2	2	0	0	1	1	0	1
K03151	1	3	2	3	3	2	2	1
K03152	2	3	0	0	3	1	1	1
K03154	1	2	1	0	1	2	1	2
K03168	1	2	4	2	1	2	2	2
K03169	1	3	1	2	2	1	2	1
K03177	3	2	1	3	2	2	2	0
K03179	2	1	1	1	1	0	2	0
K03181	1	1	0	0	1	0	1	0
K03182	1	2	1	1	1	1	2	0
K03183	1	1	1	1	1	0	1	2
K03184	2	1	0	0	1	1	1	0
K03185	2	2	0	0	2	1	0	0
K03186	2	1	2	2	1	0	1	1
K03187	0	2	0	0	0	0	0	0
K03188	0	1	0	0	0	1	0	1
K03189	0	2	0	1	1	1	0	0
K03190	0	1	0	0	0	1	1	1
K03191	0	1	0	0	0	0	0	0
K03192	0	1	0	0	0	0	1	0
K03194	1	0	0	0	0	0	1	0
K03195	1	0	0	1	0	0	0	0
K03196	1	0	0	0	0	0	1	0
K03197	1	0	0	0	0	0	0	0
K03198	1	0	0	0	0	0	0	0
K03200	1	0	0	0	0	0	0	0
K03201	1	0	0	0	0	0	0	0
K03203	1	0	0	0	0	0	1	0
K03204	1	0	0	0	0	0	1	0
K03205	1	1	3	5	0	0	1	3
K03207	2	1	0	0	0	0	1	0
K03208	2	1	0	0	0	1	1	0
K03210	1	2	3	2	2	1	2	1
K03212	2	2	1	0	1	2	2	1
K03214	2	3	0	0	1	1	1	0
K03215	2	2	4	5	4	1	2	1
K03216	1	2	4	5	3	1	2	1
K03217	2	1	4	8	1	3	5	6
K03218	2	1	5	2	3	2	1	2
K03269	1	2	0	0	3	2	2	0
K03270	2	1	0	0	0	0	1	0
K03271	2	1	0	0	1	1	1	1
K03272	2	1	0	0	1	1	1	0
K03273	2	1	0	0	1	0	0	0
K03274	1	1	0	0	2	2	2	1
K03281	2	2	1	1	3	0	1	0
K03282	2	2	0	0	1	2	1	1
K03284	0	3	1	0	1	1	1	2
K03286	3	6	3	0	3	5	3	5
K03288	1	1	0	0	1	1	3	0
K03290	1	1	0	0	1	1	2	0
K03291	1	2	1	0	2	2	4	0
K03292	7	5	0	0	4	3	9	3
K03293	1	1	0	0	2	0	1	0
K03294	0	1	0	1	1	0	0	1
K03296	0	0	0	0	0	0	1	0
K03297	2	0	0	0	4	2	0	2
K03299	6	1	4	1	0	5	5	2
K03300	0	1	0	0	3	1	0	3
K03303	1	1	2	1	0	1	3	2
K03304	0	2	0	0	1	1	0	1
K03305	2	2	1	0	3	5	5	1
K03307	2	2	0	0	0	1	0	2
K03310	3	2	1	1	2	2	0	7
K03311	1	1	0	4	1	2	2	2
K03312	1	0	1	0	0	1	0	0
K03313	1	1	0	0	1	1	0	1
K03314	0	3	0	0	0	0	0	0
K03315	1	1	3	2	0	0	3	1
K03317	0	0	0	0	2	1	0	0
K03319	1	1	0	0	1	0	0	0
K03320	3	2	4	1	2	0	3	3
K03321	3	1	0	1	1	0	1	4
K03322	0	2	1	0	2	0	2	0
K03324	2	3	1	3	1	2	4	0
K03325	0	0	0	2	0	0	0	2
K03326	1	1	0	0	0	0	1	1
K03327	4	4	6	4	6	2	7	4
K03328	0	1	0	1	1	1	0	0
K03335	0	1	0	0	1	2	0	0
K03336	1	1	0	0	2	1	1	1
K03337	1	2	1	0	1	2	0	0
K03338	0	1	0	0	2	1	0	0
K03340	0	0	0	1	0	0	0	0
K03346	0	1	3	4	3	0	1	0
K03365	0	0	0	0	0	0	0	1
K03366	1	1	0	0	2	2	3	0
K03367	0	0	0	1	0	0	0	1
K03380	0	0	0	0	0	0	0	1
K03381	1	0	0	0	1	1	1	1
K03385	2	1	0	0	1	1	0	0
K03386	0	1	0	0	1	0	0	0
K03387	0	2	2	3	3	0	1	1
K03392	0	0	0	0	0	0	0	1
K03394	0	0	1	0	1	0	1	1
K03399	0	1	0	0	1	0	0	0
K03402	0	2	2	5	1	2	5	2
K03404	0	0	0	0	0	0	0	1
K03406	10	12	1	2	4	4	6	16
K03407	2	3	1	0	2	0	2	0
K03408	2	1	0	0	1	0	0	2
K03410	0	0	0	0	1	1	0	1
K03411	0	0	0	1	1	0	0	0
K03412	2	2	1	0	1	2	0	1
K03413	1	3	0	0	2	1	1	0
K03414	0	3	0	0	0	1	2	0
K03415	1	2	0	0	0	0	0	1
K03417	0	0	1	0	0	0	0	2
K03424	4	5	5	5	4	3	5	1
K03425	2	2	0	0	1	0	1	1
K03426	1	1	0	0	1	2	0	3
K03427	1	0	5	5	1	0	1	0
K03430	0	0	1	0	0	1	0	0
K03431	2	2	2	1	2	1	4	2
K03433	0	0	0	0	0	0	0	2
K03435	2	1	1	0	3	1	0	2
K03436	0	0	2	0	1	1	1	2
K03437	1	0	2	2	0	0	3	1
K03438	4	4	6	3	2	3	2	3
K03439	1	2	1	4	0	3	1	2
K03442	1	2	0	0	1	1	2	3
K03445	1	1	0	0	2	1	4	0
K03446	1	3	0	0	2	1	0	0
K03449	2	2	2	0	3	2	2	2
K03451	1	0	0	0	1	1	1	1
K03453	1	2	1	0	1	1	0	2
K03455	5	2	1	0	1	3	3	3
K03457	4	0	0	0	2	3	2	2
K03464	1	0	0	0	1	1	0	2
K03465	0	0	1	0	0	0	0	0
K03466	5	4	9	7	4	2	3	2
K03468	1	2	0	0	0	0	0	0
K03469	2	2	1	0	2	0	1	3
K03470	2	4	3	1	1	1	2	0
K03471	0	0	1	3	0	1	1	0
K03472	0	0	1	0	0	1	0	0
K03473	1	2	1	0	0	1	0	0
K03474	1	1	0	0	0	1	0	2
K03475	4	4	1	3	7	5	2	1
K03476	3	1	0	0	1	1	3	0
K03477	1	1	1	0	0	0	0	0
K03478	0	0	0	1	1	0	1	0
K03481	0	1	0	0	0	0	0	0
K03482	0	0	0	0	1	1	2	0
K03483	0	0	0	0	1	0	0	0
K03484	0	0	0	0	1	1	0	0
K03485	1	0	0	0	0	1	0	0
K03486	1	1	0	3	0	1	0	1
K03487	0	2	0	0	1	1	1	0
K03488	0	2	2	1	3	4	2	2
K03489	0	0	0	0	0	0	2	0
K03490	0	1	0	0	0	0	0	0
K03491	0	0	0	1	0	0	0	1
K03492	1	0	0	1	4	0	1	0
K03495	4	2	7	5	3	1	3	4
K03496	3	3	6	4	2	1	1	4
K03497	2	2	3	4	2	4	5	2
K03498	3	3	3	5	2	2	2	2
K03499	1	1	2	1	0	2	4	1
K03500	1	4	2	3	1	2	2	2
K03501	4	1	3	2	1	0	2	2
K03502	4	2	3	1	3	2	4	0
K03503	2	0	0	0	2	0	1	1
K03516	0	2	0	0	1	0	0	0
K03517	1	1	2	1	0	1	0	0
K03518	1	1	0	0	0	1	0	1
K03519	0	0	0	0	0	0	0	1
K03521	1	0	0	0	1	1	0	0
K03522	0	0	0	0	0	0	0	1
K03523	1	0	1	3	1	1	1	0
K03524	1	1	1	2	2	0	3	0
K03525	1	0	0	0	0	0	0	1
K03526	2	1	0	0	1	2	1	1
K03527	2	1	0	0	2	1	0	3
K03528	1	2	0	0	1	2	1	1
K03529	1	1	2	1	1	0	1	0
K03530	1	1	2	2	2	1	4	1
K03531	4	2	4	2	3	2	1	2
K03532	0	1	0	0	1	1	0	0
K03534	1	1	1	1	3	2	3	1
K03535	1	2	1	0	0	1	1	0
K03536	1	2	3	3	2	1	0	3
K03543	1	5	0	1	2	3	0	1
K03544	3	1	5	3	3	3	2	1
K03545	5	2	4	3	2	1	2	5
K03546	2	3	3	2	3	3	2	5
K03547	2	2	1	3	1	2	1	0
K03548	1	2	1	1	0	0	1	1
K03549	3	2	2	5	2	2	3	3
K03550	4	1	2	3	3	2	1	3
K03551	4	3	3	1	3	1	3	2
K03553	4	4	5	7	3	0	1	2
K03554	1	1	0	0	0	2	2	2
K03555	2	3	3	3	3	2	3	2
K03556	4	3	0	0	0	3	1	1
K03557	2	1	1	1	0	1	0	0
K03558	1	1	0	0	1	1	1	0
K03559	2	3	1	0	0	1	1	1
K03560	0	0	0	0	0	0	0	1
K03561	1	0	0	0	1	1	0	1
K03562	1	1	1	0	1	2	0	0
K03563	1	2	0	0	2	1	0	1
K03564	1	1	0	0	1	1	3	5
K03565	2	2	2	2	1	2	3	3
K03566	7	6	0	1	5	2	0	8
K03567	1	1	0	1	0	0	0	0
K03568	2	1	0	0	2	1	1	0
K03569	3	6	0	0	2	2	3	0
K03570	4	1	3	3	1	0	0	3
K03571	2	1	3	3	2	1	1	0
K03572	2	2	3	3	2	3	0	2
K03573	2	2	0	0	1	2	0	0
K03574	4	2	3	4	3	2	3	8
K03575	2	2	3	3	0	2	3	4
K03576	2	1	0	1	3	1	2	1
K03577	1	1	0	0	1	0	2	0
K03578	1	2	0	0	0	3	1	2
K03579	1	1	0	0	2	1	1	2
K03580	2	3	0	2	1	3	1	1
K03581	4	3	3	4	4	1	5	1
K03582	1	2	0	1	0	1	0	0
K03583	2	2	0	0	1	4	0	1
K03584	2	2	1	4	2	2	3	2
K03585	1	3	0	1	1	1	1	2
K03586	3	1	1	0	0	2	0	1
K03587	2	4	1	0	2	2	1	1
K03588	1	1	0	0	1	1	2	1
K03589	1	2	3	2	2	0	3	5
K03590	4	4	3	2	1	2	2	4
K03591	2	2	0	0	2	2	0	0
K03592	0	1	1	0	1	2	1	1
K03593	0	2	1	0	0	0	0	2
K03594	1	0	0	0	2	0	0	2
K03595	1	4	3	4	1	3	4	2
K03596	0	1	2	1	2	0	0	2
K03597	1	2	1	0	1	2	0	0
K03598	1	3	1	0	3	1	1	0
K03599	2	3	0	0	1	2	2	0
K03600	1	3	0	0	1	1	0	1
K03601	3	2	4	2	2	3	1	5
K03602	2	3	5	3	2	2	3	1
K03603	1	1	0	0	1	0	1	0
K03604	1	0	0	0	1	2	0	0
K03605	0	0	0	0	0	0	1	0
K03606	1	2	0	0	1	2	1	0
K03607	2	1	0	0	3	1	3	0
K03608	0	2	0	0	1	2	0	0
K03609	2	2	0	0	1	1	1	0
K03610	0	1	0	0	0	2	0	0
K03611	0	3	0	0	0	0	0	1
K03612	2	2	1	1	3	1	1	1
K03613	1	2	2	2	2	2	0	1
K03614	1	2	1	1	3	2	0	0
K03615	2	2	2	4	3	2	2	0
K03616	0	0	2	2	2	2	0	1
K03617	0	2	2	1	1	2	1	0
K03621	2	2	0	3	1	5	7	1
K03623	1	2	0	0	2	1	3	1
K03624	0	3	1	1	4	1	1	3
K03625	3	1	3	2	1	3	0	1
K03628	3	1	1	0	2	1	4	2
K03629	1	2	4	4	2	2	2	4
K03630	3	4	3	2	3	2	7	3
K03631	5	3	5	3	1	1	1	3
K03632	4	2	1	0	1	2	0	0
K03633	3	2	0	0	1	1	1	0
K03634	2	0	0	0	1	3	0	0
K03635	1	3	0	0	1	1	0	2
K03636	1	2	0	0	1	0	0	0
K03637	1	1	2	1	2	1	2	1
K03638	1	1	0	0	0	1	0	1
K03639	1	2	1	1	2	2	1	1
K03640	2	1	1	0	2	2	0	0
K03641	1	1	0	0	0	0	1	0
K03642	2	1	0	0	2	2	2	0
K03643	3	2	0	0	2	1	0	1
K03644	1	1	0	0	1	1	0	2
K03645	2	2	0	0	1	1	2	0
K03646	0	2	0	0	1	2	2	0
K03647	1	1	0	2	3	3	0	2
K03648	1	2	1	4	2	3	2	0
K03649	2	1	0	0	0	1	1	0
K03650	2	1	3	5	4	4	2	2
K03651	1	1	0	0	1	3	0	1
K03652	1	0	1	6	1	0	0	0
K03654	0	2	1	1	1	0	0	2
K03655	5	1	3	3	3	3	3	4
K03656	1	2	0	0	0	1	2	0
K03657	1	1	3	2	1	3	2	4
K03658	2	2	1	0	1	2	3	0
K03664	2	2	1	4	4	1	3	0
K03665	3	3	3	1	3	1	1	2
K03666	2	2	1	0	1	1	2	0
K03667	2	2	0	2	2	2	4	0
K03668	1	0	1	0	0	1	1	4
K03669	2	1	0	1	1	1	0	0
K03670	3	3	0	0	1	0	2	0
K03671	1	2	2	0	1	3	1	5
K03672	0	1	0	0	1	0	1	0
K03673	2	2	0	0	0	1	2	0
K03674	0	2	0	0	1	1	1	0
K03675	0	0	0	0	0	1	0	0
K03676	2	1	1	0	2	1	0	0
K03683	2	2	0	0	0	0	0	0
K03684	1	1	0	0	0	0	1	2
K03685	1	3	2	4	2	0	0	1
K03686	1	1	1	3	0	1	1	4
K03687	1	2	3	2	3	3	2	0
K03688	1	1	1	1	2	3	1	2
K03690	1	1	1	1	1	0	1	0
K03693	0	0	1	2	0	1	0	1
K03694	1	2	0	0	1	0	1	1
K03695	0	1	1	2	1	0	1	3
K03696	0	0	2	2	1	0	2	0
K03697	0	0	2	1	2	0	0	2
K03698	0	0	2	4	2	1	0	1
K03699	3	3	3	4	1	3	2	4
K03700	0	0	0	2	2	1	2	0
K03701	7	5	10	5	2	3	5	12
K03702	6	4	4	4	2	3	1	3
K03703	4	2	4	3	1	3	5	3
K03704	5	5	4	7	13	6	9	8
K03705	2	0	3	0	3	1	1	2
K03706	1	0	2	2	2	0	0	2
K03707	0	0	2	1	2	1	0	1
K03708	0	0	2	4	1	1	1	0
K03709	1	0	4	2	1	0	1	3
K03710	1	0	2	6	5	1	1	2
K03711	1	1	0	1	2	1	1	3
K03712	1	1	0	0	1	2	1	0
K03713	1	0	1	4	2	1	1	0
K03717	2	2	0	0	0	1	0	0
K03718	0	0	0	0	2	1	1	0
K03719	4	4	1	0	1	2	0	10
K03720	1	1	0	0	1	1	2	0
K03721	1	2	0	0	0	1	1	1
K03722	4	3	1	2	3	5	3	1
K03723	3	2	4	4	4	2	2	2
K03724	0	0	1	0	0	0	0	3
K03727	0	0	0	0	0	0	0	2
K03732	1	2	0	0	1	0	1	1
K03733	2	1	0	1	1	2	3	0
K03734	2	1	4	6	7	5	3	1
K03735	0	0	0	0	0	1	1	0
K03736	0	0	0	0	2	2	2	0
K03737	6	0	3	3	2	2	1	0
K03739	1	0	2	1	1	0	1	0
K03740	0	0	1	1	1	1	2	1
K03741	0	0	3	1	0	0	0	2
K03742	2	3	2	4	2	2	0	0
K03743	1	2	1	0	1	1	1	0
K03744	3	1	2	2	1	1	1	3
K03745	0	1	0	0	1	1	2	0
K03746	3	0	0	1	1	1	1	0
K03747	0	2	1	0	1	1	1	0
K03748	2	2	0	0	1	0	2	1
K03749	1	0	0	0	0	2	1	0
K03750	1	2	4	1	3	2	2	4
K03752	1	2	0	1	1	0	1	1
K03753	0	2	0	0	0	0	1	0
K03756	0	2	0	0	0	0	1	0
K03757	0	0	0	0	0	1	0	0
K03758	4	0	2	2	2	1	4	0
K03759	0	0	0	0	1	0	0	0
K03760	1	1	0	1	0	1	1	1
K03761	2	1	0	0	1	0	2	1
K03762	4	4	0	0	0	6	1	1
K03763	2	0	1	3	0	1	0	2
K03764	3	2	1	0	1	2	3	0
K03765	0	0	0	0	0	1	2	0
K03767	1	1	1	1	2	2	1	0
K03768	0	0	1	1	1	0	0	0
K03770	3	2	0	0	2	2	1	0
K03771	1	2	0	0	1	2	1	0
K03772	2	1	0	0	2	0	0	0
K03773	1	2	0	0	1	2	1	0
K03774	0	2	0	0	2	0	0	0
K03775	1	1	0	0	2	1	1	0
K03776	0	3	0	0	1	0	1	0
K03777	1	1	1	0	1	0	1	0
K03778	2	1	0	0	2	0	1	0
K03779	0	0	0	0	1	0	0	0
K03780	0	1	0	0	1	0	0	0
K03781	1	2	0	0	4	4	2	4
K03782	0	1	0	1	1	0	1	2
K03783	0	0	4	2	1	0	1	1
K03784	2	3	2	1	2	1	0	2
K03785	0	1	0	1	1	0	0	2
K03786	1	0	1	0	0	1	2	0
K03787	2	2	0	0	1	0	1	1
K03788	0	1	0	0	1	1	1	0
K03789	3	2	2	5	2	1	2	1
K03790	3	3	4	5	5	4	6	6
K03791	0	3	0	0	1	0	0	1
K03795	0	0	1	0	0	0	0	1
K03796	1	1	1	0	1	2	1	0
K03797	3	1	0	1	0	1	1	2
K03798	0	2	1	2	2	2	2	0
K03799	1	1	1	0	2	2	0	1
K03800	2	0	2	3	2	2	1	1
K03801	1	2	0	0	1	0	0	2
K03802	0	0	0	0	0	0	0	1
K03803	2	3	0	0	1	3	4	0
K03804	3	1	0	0	1	1	1	1
K03805	2	1	0	0	2	1	0	0
K03806	2	2	0	0	1	1	1	0
K03807	0	2	0	0	0	2	0	0
K03808	5	2	0	0	0	1	1	0
K03809	0	3	0	0	0	0	3	0
K03810	1	2	1	4	2	3	4	1
K03811	2	3	0	1	1	1	5	1
K03812	1	2	0	0	0	1	1	0
K03813	0	0	0	0	1	0	0	0
K03814	1	2	0	0	1	1	2	0
K03815	0	0	1	0	0	1	1	0
K03816	1	0	1	2	1	1	1	1
K03817	2	0	0	0	1	0	2	0
K03818	2	1	0	0	1	1	1	0
K03819	1	0	0	0	0	1	1	0
K03820	3	2	0	0	0	0	1	3
K03821	0	0	0	0	0	0	0	1
K03824	3	2	0	1	2	3	0	2
K03825	1	1	0	0	1	0	1	0
K03826	0	1	0	1	1	2	0	1
K03827	1	1	1	3	0	1	1	2
K03828	1	2	0	0	2	3	0	0
K03829	1	0	0	0	3	0	2	1
K03830	1	0	0	0	2	1	2	0
K03831	2	1	0	0	0	2	0	0
K03832	0	2	0	0	2	2	1	4
K03833	2	3	0	0	0	2	1	1
K03834	1	2	0	0	1	0	1	0
K03835	1	1	0	0	0	3	2	0
K03837	1	1	0	0	1	0	0	0
K03838	0	1	0	0	0	0	0	0
K03839	2	2	0	0	0	1	0	0
K03840	2	2	0	0	1	2	1	0
K03841	1	0	1	0	1	2	0	0
K03856	1	0	0	1	1	0	0	0
K03863	0	0	0	0	1	0	0	1
K03885	0	3	1	2	3	0	4	3
K03889	0	0	1	0	0	0	0	1
K03890	0	0	2	0	0	0	0	1
K03891	0	0	0	0	0	0	0	1
K03892	2	1	1	0	2	1	1	1
K03893	3	1	1	0	3	0	1	0
K03894	1	0	0	0	0	0	0	0
K03896	1	0	0	0	0	0	0	0
K03897	0	1	0	0	0	0	0	0
K03919	2	1	0	0	2	1	1	0
K03923	2	2	0	0	2	1	0	0
K03924	3	2	2	1	2	4	1	4
K03925	1	1	3	1	3	1	3	3
K03926	2	3	0	0	1	2	1	0
K03928	0	0	1	1	1	0	2	2
K03929	0	2	1	0	0	1	2	2
K03930	0	0	2	2	2	1	0	0
K03931	0	0	0	0	1	0	0	0
K03932	0	0	0	0	0	0	0	1
K03969	1	2	0	0	2	2	1	2
K03970	1	2	0	0	0	1	0	0
K03971	0	1	0	0	0	1	1	1
K03972	0	0	0	1	1	1	3	0
K03973	2	2	3	5	2	1	2	4
K03974	2	1	0	0	0	1	0	0
K03975	10	8	1	1	3	6	3	11
K03976	1	1	4	2	2	1	1	3
K03977	3	2	4	2	2	4	1	4
K03978	1	1	2	1	1	1	0	1
K03979	3	5	4	3	4	2	3	1
K03980	1	1	1	0	2	2	2	1
K03981	2	1	0	0	0	1	1	0
K04013	2	0	0	0	1	1	2	0
K04014	2	0	0	0	1	0	0	0
K04019	0	0	0	0	3	1	0	0
K04023	0	0	0	0	2	1	1	0
K04024	0	0	0	1	2	1	0	0
K04025	0	0	0	0	0	1	0	0
K04026	0	1	0	0	0	1	0	1
K04027	2	1	0	0	5	5	1	0
K04028	0	1	0	0	1	1	0	0
K04029	0	0	0	1	2	1	0	0
K04030	0	0	0	0	1	1	0	0
K04031	0	0	1	2	3	1	1	0
K04032	0	0	0	0	0	1	0	0
K04033	0	0	0	0	0	1	0	0
K04041	0	0	0	1	0	0	0	0
K04042	1	2	5	3	2	3	3	2
K04043	2	1	1	1	1	2	1	1
K04044	1	2	1	0	0	2	1	0
K04046	1	2	0	0	0	1	0	0
K04047	1	2	3	2	1	1	0	1
K04062	1	1	0	0	1	1	0	0
K04063	1	3	2	4	1	1	2	3
K04064	2	1	0	0	0	0	1	0
K04065	3	3	1	1	1	2	2	0
K04066	3	4	5	6	1	2	3	2
K04067	2	0	0	0	0	1	1	0
K04068	2	2	1	3	1	2	0	0
K04069	2	5	1	5	3	3	11	1
K04072	2	2	2	2	3	0	2	1
K04073	1	0	0	0	1	2	0	0
K04074	0	0	4	7	2	1	3	4
K04075	2	2	2	2	2	2	2	1
K04077	5	2	5	3	3	1	2	1
K04078	2	1	2	3	2	2	1	3
K04079	2	2	1	0	0	2	1	3
K04080	1	2	0	0	0	2	1	0
K04081	1	2	0	0	1	2	0	0
K04082	2	1	0	0	1	2	1	1
K04083	3	2	1	3	2	2	2	0
K04084	1	2	1	0	2	1	2	1
K04085	6	2	0	0	3	3	3	3
K04087	1	3	1	0	1	2	0	1
K04088	2	1	1	0	1	1	0	0
K04091	1	2	0	0	2	3	0	4
K04092	0	0	0	0	0	0	0	2
K04094	1	1	2	2	1	0	2	0
K04095	2	2	1	1	4	3	2	2
K04096	1	3	2	3	3	1	3	1
K04099	0	1	0	0	0	0	2	0
K04103	1	2	0	0	2	1	3	1
K04333	0	1	0	0	1	0	1	0
K04335	0	0	0	0	0	0	1	0
K04336	0	1	0	0	0	0	1	0
K04343	1	1	0	0	0	0	0	1
K04477	2	2	0	0	1	0	1	0
K04485	4	2	5	3	1	3	2	2
K04486	1	1	3	0	0	0	0	1
K04487	1	2	7	4	0	3	2	2
K04488	2	1	3	2	1	1	1	1
K04517	0	1	1	0	1	0	1	0
K04518	1	1	0	0	0	1	1	2
K04561	1	0	0	0	2	0	0	0
K04564	1	2	0	2	1	3	1	1
K04565	0	2	1	0	2	1	0	1
K04566	0	0	1	1	0	0	0	0
K04567	4	4	3	3	3	3	2	1
K04568	1	0	0	0	1	1	0	0
K04651	0	1	0	0	1	2	4	0
K04652	2	1	1	0	1	0	0	0
K04653	0	0	1	0	1	1	1	0
K04654	0	1	0	0	1	1	1	1
K04655	1	1	0	0	1	1	1	1
K04656	1	1	0	1	2	2	2	0
K04691	1	2	0	0	0	1	2	0
K04719	0	0	0	0	0	0	0	1
K04720	0	0	0	0	0	1	0	0
K04744	1	2	0	0	0	1	1	0
K04749	0	1	0	0	0	0	0	1
K04750	3	1	2	6	3	3	1	5
K04751	0	1	1	2	1	1	2	1
K04752	2	1	0	0	1	0	0	0
K04753	1	2	0	0	1	1	0	0
K04754	2	1	1	0	1	1	0	1
K04755	2	2	0	0	2	1	0	1
K04756	0	0	1	0	0	0	0	0
K04757	0	1	0	0	0	0	0	0
K04758	2	3	2	2	2	0	1	3
K04759	7	3	3	3	1	2	0	2
K04760	2	1	1	0	1	1	0	0
K04761	1	1	0	0	0	0	1	2
K04762	2	2	1	1	4	0	2	3
K04763	1	1	1	3	1	2	0	3
K04764	1	1	0	0	0	1	0	0
K04765	1	2	0	0	2	1	1	0
K04767	0	0	1	1	1	0	0	1
K04768	0	0	0	0	0	0	0	1
K04770	1	2	0	0	1	0	2	0
K04771	4	3	1	1	4	0	2	1
K04772	1	2	0	0	0	1	2	0
K04773	1	1	0	0	0	2	1	1
K04774	1	2	1	0	1	1	1	2
K04775	1	2	0	0	0	1	1	0
K04782	0	0	0	1	0	0	0	0
K04784	0	0	0	0	1	1	0	0
K04786	0	0	0	0	0	1	0	0
K04794	0	0	0	0	0	0	0	1
K04835	0	0	0	0	1	0	0	0
K04940	0	0	0	0	0	0	0	1
K05275	2	3	0	1	2	1	0	0
K05296	0	0	0	0	0	0	1	1
K05306	0	0	1	1	0	1	0	0
K05311	0	0	2	2	0	0	0	1
K05337	0	0	0	1	1	0	2	0
K05338	0	0	0	0	0	0	0	1
K05340	1	0	1	2	0	1	1	0
K05343	0	1	0	0	0	1	0	0
K05346	0	0	0	0	0	0	0	2
K05349	4	4	4	4	6	4	2	1
K05350	0	0	0	0	0	0	1	1
K05352	0	0	0	0	0	0	0	1
K05358	0	2	0	0	2	0	0	0
K05362	1	0	1	1	1	1	1	0
K05363	0	0	1	1	1	0	0	1
K05365	2	2	1	0	0	1	2	0
K05366	0	2	0	0	1	0	1	0
K05367	0	2	0	0	0	0	1	0
K05368	1	1	1	0	1	1	0	0
K05372	0	0	0	0	1	0	0	0
K05373	0	0	0	0	1	1	0	0
K05374	0	0	0	0	0	1	0	0
K05375	1	1	0	0	0	1	0	1
K05396	2	1	0	0	1	0	0	1
K05499	1	2	0	0	0	0	1	0
K05501	1	3	1	0	2	0	0	1
K05515	1	2	0	0	1	1	0	1
K05516	0	1	0	0	1	0	0	0
K05517	2	2	0	0	1	2	0	0
K05520	0	0	0	0	1	1	0	5
K05521	2	0	0	0	0	1	1	0
K05522	0	2	0	0	0	1	2	0
K05523	0	0	0	0	0	0	0	1
K05524	0	0	1	0	0	0	0	2
K05526	0	2	0	0	2	0	0	3
K05527	1	0	1	0	1	1	0	0
K05539	1	1	1	0	1	1	2	1
K05540	1	3	2	3	3	2	3	3
K05541	1	1	0	0	2	1	2	0
K05548	0	0	0	0	0	0	0	1
K05549	2	0	0	0	0	1	0	0
K05550	1	0	1	0	2	1	0	1
K05554	0	1	0	0	0	0	0	0
K05555	0	0	0	0	0	0	0	1
K05560	0	0	0	0	0	0	0	1
K05562	0	0	0	0	0	0	0	1
K05563	0	0	0	0	0	0	0	2
K05564	0	0	0	0	0	0	0	1
K05565	0	0	0	0	0	0	0	1
K05566	0	0	1	0	0	0	0	1
K05568	0	0	1	0	0	0	0	0
K05569	0	0	1	0	0	0	0	1
K05570	0	0	0	0	0	0	0	1
K05571	0	0	0	0	0	0	0	1
K05589	2	2	0	0	1	2	0	0
K05590	1	0	0	0	2	1	1	0
K05591	1	2	0	0	2	1	0	0
K05592	1	0	5	3	3	2	2	2
K05593	0	0	0	0	0	0	1	0
K05594	2	5	0	0	4	2	2	0
K05595	5	4	0	0	1	3	4	3
K05596	2	2	3	0	0	1	1	3
K05601	1	3	0	0	2	1	1	0
K05603	1	0	0	0	0	0	0	0
K05685	1	2	0	0	2	0	1	0
K05708	0	0	0	0	0	0	1	0
K05710	0	0	0	0	1	1	2	2
K05712	2	0	0	0	1	1	0	0
K05713	1	0	0	0	2	1	1	1
K05714	1	0	0	0	1	0	0	1
K05770	0	0	0	0	0	1	0	0
K05774	1	1	1	0	2	2	0	0
K05775	1	2	1	0	2	2	1	0
K05776	3	2	0	0	1	1	3	0
K05777	0	2	0	0	0	0	1	0
K05778	0	1	0	0	0	1	1	0
K05779	0	1	0	0	0	1	0	0
K05780	1	0	0	1	1	2	0	1
K05781	2	2	1	1	1	2	2	0
K05782	0	2	1	0	0	2	0	1
K05783	1	0	0	0	2	2	0	0
K05784	1	0	0	0	1	2	0	0
K05785	0	2	0	1	0	1	1	0
K05786	2	2	1	0	1	1	3	1
K05787	1	2	1	0	1	1	1	0
K05788	0	1	0	0	1	0	1	0
K05789	0	1	0	1	0	0	0	0
K05790	2	3	1	0	1	1	2	0
K05793	0	1	0	0	0	0	0	0
K05794	2	4	0	0	1	1	2	1
K05796	1	2	0	0	0	2	0	1
K05798	0	1	0	0	1	0	0	0
K05799	3	4	0	1	2	1	3	8
K05800	1	2	0	0	2	1	1	0
K05801	1	1	0	0	1	2	2	0
K05802	2	1	0	0	1	1	1	0
K05803	4	2	1	0	0	2	1	0
K05804	0	4	0	0	1	2	0	0
K05805	0	1	0	0	0	0	0	0
K05807	1	0	0	0	1	1	1	0
K05808	1	2	1	2	2	1	1	3
K05809	1	1	1	0	0	1	0	0
K05810	2	2	1	1	1	2	0	3
K05811	2	1	0	0	1	1	2	0
K05812	3	1	0	0	1	2	0	1
K05813	2	1	0	0	1	1	2	0
K05814	1	1	0	0	0	0	2	0
K05815	0	1	0	0	0	1	0	0
K05816	1	1	0	0	0	1	0	0
