#KO	Bran_1	Bran_2	PS_2	PS_3	CO_2	CO_3	Faeces_BR	Faeces_PS
K00761	2	2	2	3	0	3	1	0
K00762	3	3	3	2	1	2	3	1
K00763	2	1	5	3	2	1	1	1
K00764	2	3	2	3	3	2	1	3
K00765	2	3	2	3	3	1	1	1
K00766	2	2	0	2	1	0	2	2
K00767	0	2	2	1	1	0	1	1
K00768	0	0	0	0	0	1	0	2
K00769	2	1	1	1	0	2	1	0
K00772	1	0	0	0	0	0	0	0
K00773	1	2	2	3	1	1	2	4
K00782	1	1	0	0	0	0	2	1
K00783	2	3	2	2	2	2	4	1
K00784	2	2	4	8	3	0	2	1
K00788	0	2	4	2	0	1	5	1
K00789	2	4	2	5	2	3	3	1
K00790	6	2	5	6	2	3	3	2
K00791	1	2	3	2	3	2	2	3
K00793	1	1	3	1	1	1	3	1
K00794	2	1	1	0	2	3	3	3
K00795	1	1	0	0	0	1	1	0
K00796	2	1	2	0	1	0	0	4
K00797	2	1	0	0	1	0	0	0
K00798	0	1	1	1	1	1	0	1
K00799	6	6	1	1	6	5	5	2
K00800	4	2	1	2	1	1	3	1
K00803	1	1	0	0	0	1	1	1
K00805	0	0	1	0	0	0	0	0
K00806	2	0	1	5	2	0	1	3
K00812	0	0	0	0	0	0	0	1
K00813	2	2	0	0	0	1	1	0
K00817	1	1	2	1	3	3	1	4
K00819	0	0	0	0	0	0	1	0
K00820	3	2	3	1	2	3	4	5
K00821	2	2	1	1	1	1	1	2
K00822	0	0	0	0	0	0	0	1
K00823	1	1	0	0	2	2	1	0
K00824	1	0	0	1	1	0	2	0
K00826	3	2	1	2	2	2	1	4
K00831	2	1	5	3	2	0	2	3
K00832	2	1	0	0	0	1	0	0
K00833	0	2	2	0	1	2	3	0
K00835	2	1	1	0	0	0	0	0
K00836	1	1	0	0	0	0	2	0
K00839	1	1	0	0	1	1	1	0
K00840	0	1	0	0	0	0	0	0
K00841	0	0	1	0	1	0	4	0
K00845	2	0	2	2	4	1	1	1
K00847	2	0	0	0	1	0	1	0
K00848	0	2	2	3	2	2	1	0
K00849	2	2	2	2	0	1	1	2
K00850	1	1	1	4	2	1	3	0
K00851	0	0	2	0	0	3	1	4
K00852	1	2	3	4	3	1	5	2
K00853	2	5	0	0	2	2	0	0
K00854	1	2	1	0	2	3	2	0
K00855	1	0	0	0	0	1	1	1
K00856	0	0	0	0	0	0	0	1
K00857	1	3	1	3	0	1	5	0
K00858	3	3	2	4	2	1	2	3
K00859	1	2	4	5	1	1	2	3
K00860	2	1	0	0	0	1	0	0
K00862	1	0	0	0	1	2	0	0
K00863	0	2	0	0	1	2	0	0
K00864	3	3	4	1	3	0	6	1
K00865	4	3	5	4	4	6	3	2
K00867	1	2	1	2	5	1	0	4
K00868	1	2	0	1	2	0	2	1
K00869	1	0	3	3	2	1	1	1
K00872	4	2	2	2	0	0	1	3
K00873	4	5	7	3	3	5	7	3
K00874	2	2	3	5	1	2	2	0
K00875	0	2	0	0	1	0	1	0
K00876	1	1	0	3	2	2	2	1
K00878	0	2	1	3	2	2	2	2
K00879	1	1	0	0	1	0	0	0
K00880	1	0	0	0	1	0	1	0
K00881	0	1	0	0	0	1	0	0
K00882	3	1	2	2	1	2	2	0
K00883	1	2	0	0	1	3	1	0
K00884	1	0	0	0	1	2	0	0
K00885	0	1	0	0	0	1	0	0
K00886	0	0	0	0	0	0	0	1
K00887	1	1	2	3	1	2	1	2
K00891	4	3	2	1	2	1	0	2
K00892	1	2	0	0	2	0	0	0
K00897	0	0	0	0	0	0	0	1
K00899	0	0	2	2	1	2	0	0
K00903	0	0	2	1	0	0	1	0
K00906	1	2	0	0	0	0	1	2
K00912	1	1	0	0	1	1	0	1
K00917	0	0	1	1	0	0	1	0
K00919	2	2	2	3	1	2	1	2
K00925	4	2	5	5	0	1	6	3
K00926	6	3	2	6	4	3	3	3
K00927	2	2	6	4	2	1	2	2
K00928	3	2	1	0	1	0	1	1
K00929	0	0	0	0	0	0	1	0
K00930	2	2	1	1	2	0	3	3
K00931	2	1	2	2	1	2	3	1
K00932	0	2	0	0	0	0	0	0
K00936	0	0	0	0	2	1	0	5
K00937	2	1	1	0	3	1	0	4
K00938	0	1	5	4	2	0	0	3
K00939	1	2	3	1	4	2	4	3
K00940	2	1	1	1	2	2	1	1
K00941	1	2	1	0	2	1	1	0
K00942	2	2	3	5	1	2	1	3
K00943	2	2	2	5	4	0	3	3
K00945	2	3	5	4	3	2	3	4
K00946	2	2	0	0	0	2	2	3
K00948	2	3	3	7	5	4	2	2
K00949	1	3	4	6	1	0	1	1
K00950	2	1	0	0	2	0	2	2
K00951	0	2	1	0	2	2	0	0
K00954	1	2	2	1	2	1	4	0
K00956	0	2	0	0	2	1	3	0
K00957	2	2	0	0	2	1	1	2
K00962	5	1	4	4	2	3	4	4
K00963	2	3	3	2	1	0	7	1
K00965	1	0	1	0	0	2	1	1
K00969	3	1	2	4	0	1	2	4
K00970	0	1	2	0	1	1	1	1
K00971	1	1	0	0	0	1	0	1
K00973	1	1	1	3	2	0	4	3
K00974	1	1	1	1	1	0	0	1
K00975	2	2	4	3	3	1	0	1
K00978	1	0	0	0	0	0	0	0
K00979	1	2	0	0	1	2	1	1
K00980	0	0	0	0	1	0	0	1
K00981	3	2	1	3	1	2	2	5
K00982	3	2	3	1	1	2	1	3
K00984	1	0	0	0	0	0	0	0
K00986	1	2	2	4	0	1	1	1
K00989	2	2	3	2	3	1	0	1
K00990	3	2	1	0	2	2	1	0
K00991	1	2	0	0	2	2	0	1
K00992	1	0	0	0	0	0	0	0
K00995	1	1	2	4	2	0	4	1
K00996	0	0	0	0	1	0	0	0
K00997	2	2	3	4	3	3	1	0
K00998	2	1	0	0	0	1	0	0
K01000	4	1	2	3	0	1	3	3
K01002	2	3	1	0	1	2	2	0
K01003	0	0	0	0	0	0	0	1
K01005	4	0	8	11	4	3	7	3
K01006	0	0	2	4	0	0	2	1
K01007	2	2	0	0	1	0	2	0
K01008	1	2	1	3	0	2	1	0
K01011	2	2	2	0	0	1	1	3
K01012	1	3	0	0	1	2	0	2
K01023	1	0	1	0	2	1	0	1
K01026	1	0	0	0	1	1	0	0
K01028	1	0	0	0	1	0	0	1
K01029	1	0	1	0	1	1	0	3
K01031	2	0	0	0	1	0	0	0
K01032	1	0	0	0	2	1	0	0
K01039	0	0	0	0	0	0	0	1
K01040	0	0	0	0	0	0	0	1
K01042	2	3	1	2	1	1	1	3
K01046	0	0	3	0	0	0	0	0
K01048	1	1	2	0	0	1	1	0
K01051	0	1	0	0	1	2	0	0
K01053	2	0	0	0	1	1	1	0
