vsd_tax,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium,1.97327988111236,-1.88720217133198,-1.88720217133198,-1.88720217133198,2.56635550901145,-1.88720217133198,-1.88720217133198,-1.88720217133198,2.02763881474071
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter,1.55958451787356,1.60004486768763,1.19283133327096,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Weeksella,-1.88720217133198,-1.88720217133198,1.19283133327096,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,4.19080406319457,2.0066614025733,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Firmicutes;c__;o__;f__;g__,2.87574078785109,1.60004486768763,2.02763881474071,3.93738625621345,2.46908105828737,2.52908498355394,1.72814557599766,0.410616049922383,1.19283133327096
d__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__,0.972704520628724,0.812739652949929,2.5509346274979,2.68776409890381,1.99654300683041,3.21301601641728,1.72814557599766,-1.88720217133198,1.6706957217652
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.410616049922383,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.03303003523214,0.0758742762437255,-1.88720217133198,-0.47310806963576,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,-1.88720217133198,-1.88720217133198,1.19283133327096,1.79765705908598,1.03303003523214,2.0066614025733,-1.88720217133198,1.60757309010928,0.46070931864668
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Family_XI_graftm_1;g__Gemella,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,-1.88720217133198,-1.88720217133198,-0.47310806963576,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,2.61295224567276,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,-1.88720217133198,0.812739652949929,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.0457854332760201,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__,-0.0738344395022788,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.47310806963576,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,-1.88720217133198,4.3685518756344,4.45055848050779,1.79765705908598,1.28533683882381,1.50876916717614,5.40786736107996,0.696277685584155,2.02763881474071
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__,2.67028482409553,4.68299667092436,4.56332128169265,5.2846112749469,5.51172359806801,5.86354204145734,4.68299667092436,3.33540752706339,4.66790377656317
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,0.0758742762437255,-1.88720217133198,0.410616049922383,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.732952982755141,-1.88720217133198,-1.88720217133198,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,0.0457854332760201,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__,-0.0738344395022788,1.60004486768763,3.48517294502778,1.79765705908598,2.56635550901145,1.77935896181822,1.72814557599766,2.4825901842927,0.46070931864668
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,4.77019475074001,7.02304638724604,7.52045188175867,7.54554863735252,7.79012907359864,8.78095202735349,9.05386906082076,7.76005572731414,7.87195051701958
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Pilibacter,-1.88720217133198,-1.88720217133198,-1.88720217133198,1.79765705908598,0.325413845249096,0.732952982755141,-1.88720217133198,0.696277685584155,-1.88720217133198
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198,-0.253446343343854,-1.88720217133198,-1.88720217133198,-1.88720217133198,-1.88720217133198
