Taxonomy,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__uncultured_Microbacterium_sp.,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__;s__,1,0,0,0,15,15,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__,1,0,0,0,4,3,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__uncultured_bacterium_graftm_1600,0,0,0,0,1,1,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Enteractinococcus;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter;s__,0,0,0,1,5,1,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter;s__uncultured_bacterium_graftm_680,0,0,0,0,7,3,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__,0,0,0,0,1,0,3,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__uncultured_bacterium_graftm_453,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus_luteus_graftm_2,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Neomicrococcus;s__,1,0,0,0,9,3,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Nesterenkonia;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Paeniglutamicibacter;s__,0,0,0,0,0,0,0,0,0
